name,introduction,cause,easy_get,prevent,cure
日本毛壶引起的疾病,"日本毛壶在8—9月份达到生长的高峰，一般在投入波纹板附着基后的15~20天内毛壶开始在波纹板上大量附着，占据了刺参的生长空间;毛壶体表突出的骨针很容易刺伤稚参和幼参的表皮，容易造成继发性细菌感染;毛壶通过水沟系统进行呼吸、摄食与排泄,大量消耗水中溶解氧的同时其代谢废物也会污染水质。毛壶在波纹板上遗留的圆形附着基很难清洗去除，给刺参养殖生产带来了不便。",敌害动物日本毛壶,稚参和幼参,对养殖用水进行砂滤处理;刺参饵料在投喂前可对新鲜海泥进行消毒处理，以杀死其中的敌害生物;在海绵繁殖高峰期及时更换新的波纹板可以有效控制其数量;使用10~20克/米3“海鞘清”(多种植物活性皂苷提取物）杀灭海绵。,对养殖用水进行砂滤处理;刺参饵料在投喂前可对新鲜海泥进行消毒处理，以杀死其中的敌害生物;在海绵繁殖高峰期及时更换新的波纹板可以有效控制其数量;使用10~20克/米3“海鞘清”(多种植物活性皂苷提取物）杀灭海绵。
软节蜂海绵引起的疾病,"该海绵种类的温度耐受性比较高，存活水温为10~30℃。水温在20℃时，软节蜂海绵在室内刺参育苗车间中能迅速繁殖。密集黏附在刺参附着基或者池壁上，能够缠绕稚参和幼参，阻碍刺参的活动和摄食。海绵的边缘骨针锋利，容易造成刺参表皮的划伤，引起细菌的继发感染而造成死亡。同时,海绵会迅速地占据刺参的栖息空间，海绵生长的地方几乎看不到刺参。",敌害动物软节蜂海绵,稚参和幼参,对养殖用水进行砂滤处理;刺参饵料在投喂前可对新鲜海泥进行消毒处理，以杀死其中的敌害生物;在海绵繁殖高峰期及时更换新的波纹板可以有效控制其数量;使用10~20克/米3“海鞘清”(多种植物活性皂苷提取物）杀灭海绵。,对养殖用水进行砂滤处理;刺参饵料在投喂前可对新鲜海泥进行消毒处理，以杀死其中的敌害生物;在海绵繁殖高峰期及时更换新的波纹板可以有效控制其数量;使用10~20克/米3“海鞘清”(多种植物活性皂苷提取物）杀灭海绵。
海蜇引起的疾病,在刺参室内苗种培育过程中，由于养殖用水过滤不当，海蜇的卵或幼体进入池内，在池内生长，达到较大密度。由于海蜇的数量多，生长速度快，摄食量大，所以在投饵后，抢夺刺参的饵料，严重影响刺参的正常摄食和生长。,敌害动物海蜇,稚参和幼参,其防控策略包括以下3个方面:①养殖用水需经过砂滤，在出水口用200目以上筛绢网袋滤后使用;②当发现育苗池中有海蜇存在时，利用灯光对海蜇进行诱集，然后用密网捞出或将诱集到排水管处的幼虫溢水排出池外;③在室外池塘中若出现大量海蜇，可以用捞网或者抬网收集后去除。,其防控策略包括以下3个方面:①养殖用水需经过砂滤，在出水口用200目以上筛绢网袋滤后使用;②当发现育苗池中有海蜇存在时，利用灯光对海蜇进行诱集，然后用密网捞出或将诱集到排水管处的幼虫溢水排出池外;③在室外池塘中若出现大量海蜇，可以用捞网或者抬网收集后去除。
曲褶刚毛藻引起的疾病,曲褶刚毛藻缠绕刺参;容易腐烂;封闭池底，导致黑底、臭底，池底的刺参出现化皮、排脏。,大型藻类曲褶刚毛藻,,"(1)清塘和消毒通过调查发现使用时间越久的刺参养殖池塘，
生长大型藻类的概率越高，种类越多，并且一旦某种藻类开始生长，
以后每年都会出现。分析原因可能是藻类在腐败后，其孢子（种子）
会散落在池底泥土中，到来年温度适宜时，又会再次萌发。针对这种
大型藻类频繁生长且无法做到有效控制时，往往要采用彻底清池和消
毒的方法进行处理，将池底的污泥和杂草全部清除后，撒上生石灰消
毒，并对池底进行掀耕、曝晒，直至土壤干裂，以杀除土壤中散落的
藻类孢子（种子），阻止其再次萌发。
(2)适时调控水质和水色从3月底、4月初开始，气温逐渐回升，
多数养殖者为了尽快让水温升高以利于刺参解除冬眠，往往降低池塘
水位，此时若不及时肥水，较低的水位透明度高，阳光能够直接照射
至池底，会导致大型藻类的萌发与繁殖，这种做法是不可取的。应该
在降低水位的同时，进行肥水，促使单胞藻快速增殖，可以降低水体
的透明度，抑制大型藻类的萌发。此外，还可以在3月中、下旬对池塘
进行肥水或者使用一些能够降低池水透明度的着色剂，或采取提高水
位至2米以上的方法来控制大型藻类的生长。
(3)人工捞除及药物处理一旦大型藻类暴发性增殖，不能盲目使
用除草剂、“灭藻灵”等药物，此时，人工捞除是最安全的控制手段之一。
在大量藻类捞除后及时使用固态氧、微生态制剂等，以降解藻类碎片，减
少腐败藻体对底质和水质的影响。另外，在藻类捞除后，应及时加高水
位，并进行施肥或添加水色剂以控制水体透明度，防止大型藻类的再次
暴发。
","(1)清塘和消毒通过调查发现使用时间越久的刺参养殖池塘，
生长大型藻类的概率越高，种类越多，并且一旦某种藻类开始生长，
以后每年都会出现。分析原因可能是藻类在腐败后，其孢子（种子）
会散落在池底泥土中，到来年温度适宜时，又会再次萌发。针对这种
大型藻类频繁生长且无法做到有效控制时，往往要采用彻底清池和消
毒的方法进行处理，将池底的污泥和杂草全部清除后，撒上生石灰消
毒，并对池底进行掀耕、曝晒，直至土壤干裂，以杀除土壤中散落的
藻类孢子（种子），阻止其再次萌发。
(2)适时调控水质和水色从3月底、4月初开始，气温逐渐回升，
多数养殖者为了尽快让水温升高以利于刺参解除冬眠，往往降低池塘
水位，此时若不及时肥水，较低的水位透明度高，阳光能够直接照射
至池底，会导致大型藻类的萌发与繁殖，这种做法是不可取的。应该
在降低水位的同时，进行肥水，促使单胞藻快速增殖，可以降低水体
的透明度，抑制大型藻类的萌发。此外，还可以在3月中、下旬对池塘
进行肥水或者使用一些能够降低池水透明度的着色剂，或采取提高水
位至2米以上的方法来控制大型藻类的生长。
(3)人工捞除及药物处理一旦大型藻类暴发性增殖，不能盲目使
用除草剂、“灭藻灵”等药物，此时，人工捞除是最安全的控制手段之一。
在大量藻类捞除后及时使用固态氧、微生态制剂等，以降解藻类碎片，减
少腐败藻体对底质和水质的影响。另外，在藻类捞除后，应及时加高水
位，并进行施肥或添加水色剂以控制水体透明度，防止大型藻类的再次
暴发。
"
强壮刚毛藻引起的疾病,"强壮刚毛藻缠绕刺参、封闭池底，刺参幼苗被藻体缠绕后出现断裂,继而引发皮肤溃烂",大型藻类强壮刚毛藻,刺参幼苗,"(1)清塘和消毒通过调查发现使用时间越久的刺参养殖池塘，
生长大型藻类的概率越高，种类越多，并且一旦某种藻类开始生长，
以后每年都会出现。分析原因可能是藻类在腐败后，其孢子（种子）
会散落在池底泥土中，到来年温度适宜时，又会再次萌发。针对这种
大型藻类频繁生长且无法做到有效控制时，往往要采用彻底清池和消
毒的方法进行处理，将池底的污泥和杂草全部清除后，撒上生石灰消
毒，并对池底进行掀耕、曝晒，直至土壤干裂，以杀除土壤中散落的
藻类孢子（种子），阻止其再次萌发。
(2)适时调控水质和水色从3月底、4月初开始，气温逐渐回升，
多数养殖者为了尽快让水温升高以利于刺参解除冬眠，往往降低池塘
水位，此时若不及时肥水，较低的水位透明度高，阳光能够直接照射
至池底，会导致大型藻类的萌发与繁殖，这种做法是不可取的。应该
在降低水位的同时，进行肥水，促使单胞藻快速增殖，可以降低水体
的透明度，抑制大型藻类的萌发。此外，还可以在3月中、下旬对池塘
进行肥水或者使用一些能够降低池水透明度的着色剂，或采取提高水
位至2米以上的方法来控制大型藻类的生长。
(3)人工捞除及药物处理一旦大型藻类暴发性增殖，不能盲目使
用除草剂、“灭藻灵”等药物，此时，人工捞除是最安全的控制手段之一。
在大量藻类捞除后及时使用固态氧、微生态制剂等，以降解藻类碎片，减
少腐败藻体对底质和水质的影响。另外，在藻类捞除后，应及时加高水
位，并进行施肥或添加水色剂以控制水体透明度，防止大型藻类的再次
暴发。
","(1)清塘和消毒通过调查发现使用时间越久的刺参养殖池塘，
生长大型藻类的概率越高，种类越多，并且一旦某种藻类开始生长，
以后每年都会出现。分析原因可能是藻类在腐败后，其孢子（种子）
会散落在池底泥土中，到来年温度适宜时，又会再次萌发。针对这种
大型藻类频繁生长且无法做到有效控制时，往往要采用彻底清池和消
毒的方法进行处理，将池底的污泥和杂草全部清除后，撒上生石灰消
毒，并对池底进行掀耕、曝晒，直至土壤干裂，以杀除土壤中散落的
藻类孢子（种子），阻止其再次萌发。
(2)适时调控水质和水色从3月底、4月初开始，气温逐渐回升，
多数养殖者为了尽快让水温升高以利于刺参解除冬眠，往往降低池塘
水位，此时若不及时肥水，较低的水位透明度高，阳光能够直接照射
至池底，会导致大型藻类的萌发与繁殖，这种做法是不可取的。应该
在降低水位的同时，进行肥水，促使单胞藻快速增殖，可以降低水体
的透明度，抑制大型藻类的萌发。此外，还可以在3月中、下旬对池塘
进行肥水或者使用一些能够降低池水透明度的着色剂，或采取提高水
位至2米以上的方法来控制大型藻类的生长。
(3)人工捞除及药物处理一旦大型藻类暴发性增殖，不能盲目使
用除草剂、“灭藻灵”等药物，此时，人工捞除是最安全的控制手段之一。
在大量藻类捞除后及时使用固态氧、微生态制剂等，以降解藻类碎片，减
少腐败藻体对底质和水质的影响。另外，在藻类捞除后，应及时加高水
位，并进行施肥或添加水色剂以控制水体透明度，防止大型藻类的再次
暴发。
"
浒苔引起的疾病,"浒苔缠绕刺参，容易腐烂;大量吸收营养盐。初期刺参生长缓慢,藻体腐烂后，刺参身体变得浑圆，部分刺参体表肿胀破裂",大型藻类浒苔,,"(1)清塘和消毒通过调查发现使用时间越久的刺参养殖池塘，
生长大型藻类的概率越高，种类越多，并且一旦某种藻类开始生长，
以后每年都会出现。分析原因可能是藻类在腐败后，其孢子（种子）
会散落在池底泥土中，到来年温度适宜时，又会再次萌发。针对这种
大型藻类频繁生长且无法做到有效控制时，往往要采用彻底清池和消
毒的方法进行处理，将池底的污泥和杂草全部清除后，撒上生石灰消
毒，并对池底进行掀耕、曝晒，直至土壤干裂，以杀除土壤中散落的
藻类孢子（种子），阻止其再次萌发。
(2)适时调控水质和水色从3月底、4月初开始，气温逐渐回升，
多数养殖者为了尽快让水温升高以利于刺参解除冬眠，往往降低池塘
水位，此时若不及时肥水，较低的水位透明度高，阳光能够直接照射
至池底，会导致大型藻类的萌发与繁殖，这种做法是不可取的。应该
在降低水位的同时，进行肥水，促使单胞藻快速增殖，可以降低水体
的透明度，抑制大型藻类的萌发。此外，还可以在3月中、下旬对池塘
进行肥水或者使用一些能够降低池水透明度的着色剂，或采取提高水
位至2米以上的方法来控制大型藻类的生长。
(4)人工捞除及药物处理一旦大型藻类暴发性增殖，不能盲目使
用除草剂、“灭藻灵”等药物，此时，人工捞除是最安全的控制手段之一。
在大量藻类捞除后及时使用固态氧、微生态制剂等，以降解藻类碎片，减
少腐败藻体对底质和水质的影响。另外，在藻类捞除后，应及时加高水
位，并进行施肥或添加水色剂以控制水体透明度，防止大型藻类的再次
暴发。
","(1)清塘和消毒通过调查发现使用时间越久的刺参养殖池塘，
生长大型藻类的概率越高，种类越多，并且一旦某种藻类开始生长，
以后每年都会出现。分析原因可能是藻类在腐败后，其孢子（种子）
会散落在池底泥土中，到来年温度适宜时，又会再次萌发。针对这种
大型藻类频繁生长且无法做到有效控制时，往往要采用彻底清池和消
毒的方法进行处理，将池底的污泥和杂草全部清除后，撒上生石灰消
毒，并对池底进行掀耕、曝晒，直至土壤干裂，以杀除土壤中散落的
藻类孢子（种子），阻止其再次萌发。
(2)适时调控水质和水色从3月底、4月初开始，气温逐渐回升，
多数养殖者为了尽快让水温升高以利于刺参解除冬眠，往往降低池塘
水位，此时若不及时肥水，较低的水位透明度高，阳光能够直接照射
至池底，会导致大型藻类的萌发与繁殖，这种做法是不可取的。应该
在降低水位的同时，进行肥水，促使单胞藻快速增殖，可以降低水体
的透明度，抑制大型藻类的萌发。此外，还可以在3月中、下旬对池塘
进行肥水或者使用一些能够降低池水透明度的着色剂，或采取提高水
位至2米以上的方法来控制大型藻类的生长。
(3)人工捞除及药物处理一旦大型藻类暴发性增殖，不能盲目使
用除草剂、“灭藻灵”等药物，此时，人工捞除是最安全的控制手段之一。
在大量藻类捞除后及时使用固态氧、微生态制剂等，以降解藻类碎片，减
少腐败藻体对底质和水质的影响。另外，在藻类捞除后，应及时加高水
位，并进行施肥或添加水色剂以控制水体透明度，防止大型藻类的再次
暴发。
"
金膜藻引起的疾病,金膜藻容易腐烂，池底的刺参摄食了腐烂的金膜藻后出现肿嘴、排脏。,大型藻类金膜藻,,"(1)清塘和消毒通过调查发现使用时间越久的刺参养殖池塘，
生长大型藻类的概率越高，种类越多，并且一旦某种藻类开始生长，
以后每年都会出现。分析原因可能是藻类在腐败后，其孢子（种子）
会散落在池底泥土中，到来年温度适宜时，又会再次萌发。针对这种
大型藻类频繁生长且无法做到有效控制时，往往要采用彻底清池和消
毒的方法进行处理，将池底的污泥和杂草全部清除后，撒上生石灰消
毒，并对池底进行掀耕、曝晒，直至土壤干裂，以杀除土壤中散落的
藻类孢子（种子），阻止其再次萌发。
(2)适时调控水质和水色从3月底、4月初开始，气温逐渐回升，
多数养殖者为了尽快让水温升高以利于刺参解除冬眠，往往降低池塘
水位，此时若不及时肥水，较低的水位透明度高，阳光能够直接照射
至池底，会导致大型藻类的萌发与繁殖，这种做法是不可取的。应该
在降低水位的同时，进行肥水，促使单胞藻快速增殖，可以降低水体
的透明度，抑制大型藻类的萌发。此外，还可以在3月中、下旬对池塘
进行肥水或者使用一些能够降低池水透明度的着色剂，或采取提高水
位至2米以上的方法来控制大型藻类的生长。
(5)人工捞除及药物处理一旦大型藻类暴发性增殖，不能盲目使
用除草剂、“灭藻灵”等药物，此时，人工捞除是最安全的控制手段之一。
在大量藻类捞除后及时使用固态氧、微生态制剂等，以降解藻类碎片，减
少腐败藻体对底质和水质的影响。另外，在藻类捞除后，应及时加高水
位，并进行施肥或添加水色剂以控制水体透明度，防止大型藻类的再次
暴发。
","(1)清塘和消毒通过调查发现使用时间越久的刺参养殖池塘，
生长大型藻类的概率越高，种类越多，并且一旦某种藻类开始生长，
以后每年都会出现。分析原因可能是藻类在腐败后，其孢子（种子）
会散落在池底泥土中，到来年温度适宜时，又会再次萌发。针对这种
大型藻类频繁生长且无法做到有效控制时，往往要采用彻底清池和消
毒的方法进行处理，将池底的污泥和杂草全部清除后，撒上生石灰消
毒，并对池底进行掀耕、曝晒，直至土壤干裂，以杀除土壤中散落的
藻类孢子（种子），阻止其再次萌发。
(2)适时调控水质和水色从3月底、4月初开始，气温逐渐回升，
多数养殖者为了尽快让水温升高以利于刺参解除冬眠，往往降低池塘
水位，此时若不及时肥水，较低的水位透明度高，阳光能够直接照射
至池底，会导致大型藻类的萌发与繁殖，这种做法是不可取的。应该
在降低水位的同时，进行肥水，促使单胞藻快速增殖，可以降低水体
的透明度，抑制大型藻类的萌发。此外，还可以在3月中、下旬对池塘
进行肥水或者使用一些能够降低池水透明度的着色剂，或采取提高水
位至2米以上的方法来控制大型藻类的生长。
(3)人工捞除及药物处理一旦大型藻类暴发性增殖，不能盲目使
用除草剂、“灭藻灵”等药物，此时，人工捞除是最安全的控制手段之一。
在大量藻类捞除后及时使用固态氧、微生态制剂等，以降解藻类碎片，减
少腐败藻体对底质和水质的影响。另外，在藻类捞除后，应及时加高水
位，并进行施肥或添加水色剂以控制水体透明度，防止大型藻类的再次
暴发。
"
软丝藻引起的疾病,软丝藻容易腐烂，占据池塘边。初期刺参生长缓慢，藻体腐烂后，刺参体色下降，肉刺变白，活力下降。,大型藻类软丝藻,,"(1)清塘和消毒通过调查发现使用时间越久的刺参养殖池塘，
生长大型藻类的概率越高，种类越多，并且一旦某种藻类开始生长，
以后每年都会出现。分析原因可能是藻类在腐败后，其孢子（种子）
会散落在池底泥土中，到来年温度适宜时，又会再次萌发。针对这种
大型藻类频繁生长且无法做到有效控制时，往往要采用彻底清池和消
毒的方法进行处理，将池底的污泥和杂草全部清除后，撒上生石灰消
毒，并对池底进行掀耕、曝晒，直至土壤干裂，以杀除土壤中散落的
藻类孢子（种子），阻止其再次萌发。
(2)适时调控水质和水色从3月底、4月初开始，气温逐渐回升，
多数养殖者为了尽快让水温升高以利于刺参解除冬眠，往往降低池塘
水位，此时若不及时肥水，较低的水位透明度高，阳光能够直接照射
至池底，会导致大型藻类的萌发与繁殖，这种做法是不可取的。应该
在降低水位的同时，进行肥水，促使单胞藻快速增殖，可以降低水体
的透明度，抑制大型藻类的萌发。此外，还可以在3月中、下旬对池塘
进行肥水或者使用一些能够降低池水透明度的着色剂，或采取提高水
位至2米以上的方法来控制大型藻类的生长。
(6)人工捞除及药物处理一旦大型藻类暴发性增殖，不能盲目使
用除草剂、“灭藻灵”等药物，此时，人工捞除是最安全的控制手段之一。
在大量藻类捞除后及时使用固态氧、微生态制剂等，以降解藻类碎片，减
少腐败藻体对底质和水质的影响。另外，在藻类捞除后，应及时加高水
位，并进行施肥或添加水色剂以控制水体透明度，防止大型藻类的再次
暴发。
","(1)清塘和消毒通过调查发现使用时间越久的刺参养殖池塘，
生长大型藻类的概率越高，种类越多，并且一旦某种藻类开始生长，
以后每年都会出现。分析原因可能是藻类在腐败后，其孢子（种子）
会散落在池底泥土中，到来年温度适宜时，又会再次萌发。针对这种
大型藻类频繁生长且无法做到有效控制时，往往要采用彻底清池和消
毒的方法进行处理，将池底的污泥和杂草全部清除后，撒上生石灰消
毒，并对池底进行掀耕、曝晒，直至土壤干裂，以杀除土壤中散落的
藻类孢子（种子），阻止其再次萌发。
(2)适时调控水质和水色从3月底、4月初开始，气温逐渐回升，
多数养殖者为了尽快让水温升高以利于刺参解除冬眠，往往降低池塘
水位，此时若不及时肥水，较低的水位透明度高，阳光能够直接照射
至池底，会导致大型藻类的萌发与繁殖，这种做法是不可取的。应该
在降低水位的同时，进行肥水，促使单胞藻快速增殖，可以降低水体
的透明度，抑制大型藻类的萌发。此外，还可以在3月中、下旬对池塘
进行肥水或者使用一些能够降低池水透明度的着色剂，或采取提高水
位至2米以上的方法来控制大型藻类的生长。
(3)人工捞除及药物处理一旦大型藻类暴发性增殖，不能盲目使
用除草剂、“灭藻灵”等药物，此时，人工捞除是最安全的控制手段之一。
在大量藻类捞除后及时使用固态氧、微生态制剂等，以降解藻类碎片，减
少腐败藻体对底质和水质的影响。另外，在藻类捞除后，应及时加高水
位，并进行施肥或添加水色剂以控制水体透明度，防止大型藻类的再次
暴发。
"
水云引起的疾病,水云缠绕刺参;堵塞网孔。池底的刺参被藻体盖住无法移动，网箱内的刺参附着力较弱，身体肿胀，活力下降。,大型藻类水云,,"(1)清塘和消毒通过调查发现使用时间越久的刺参养殖池塘，
生长大型藻类的概率越高，种类越多，并且一旦某种藻类开始生长，
以后每年都会出现。分析原因可能是藻类在腐败后，其孢子（种子）
会散落在池底泥土中，到来年温度适宜时，又会再次萌发。针对这种
大型藻类频繁生长且无法做到有效控制时，往往要采用彻底清池和消
毒的方法进行处理，将池底的污泥和杂草全部清除后，撒上生石灰消
毒，并对池底进行掀耕、曝晒，直至土壤干裂，以杀除土壤中散落的
藻类孢子（种子），阻止其再次萌发。
(2)适时调控水质和水色从3月底、4月初开始，气温逐渐回升，
多数养殖者为了尽快让水温升高以利于刺参解除冬眠，往往降低池塘
水位，此时若不及时肥水，较低的水位透明度高，阳光能够直接照射
至池底，会导致大型藻类的萌发与繁殖，这种做法是不可取的。应该
在降低水位的同时，进行肥水，促使单胞藻快速增殖，可以降低水体
的透明度，抑制大型藻类的萌发。此外，还可以在3月中、下旬对池塘
进行肥水或者使用一些能够降低池水透明度的着色剂，或采取提高水
位至2米以上的方法来控制大型藻类的生长。
(7)人工捞除及药物处理一旦大型藻类暴发性增殖，不能盲目使
用除草剂、“灭藻灵”等药物，此时，人工捞除是最安全的控制手段之一。
在大量藻类捞除后及时使用固态氧、微生态制剂等，以降解藻类碎片，减
少腐败藻体对底质和水质的影响。另外，在藻类捞除后，应及时加高水
位，并进行施肥或添加水色剂以控制水体透明度，防止大型藻类的再次
暴发。
","(1)清塘和消毒通过调查发现使用时间越久的刺参养殖池塘，
生长大型藻类的概率越高，种类越多，并且一旦某种藻类开始生长，
以后每年都会出现。分析原因可能是藻类在腐败后，其孢子（种子）
会散落在池底泥土中，到来年温度适宜时，又会再次萌发。针对这种
大型藻类频繁生长且无法做到有效控制时，往往要采用彻底清池和消
毒的方法进行处理，将池底的污泥和杂草全部清除后，撒上生石灰消
毒，并对池底进行掀耕、曝晒，直至土壤干裂，以杀除土壤中散落的
藻类孢子（种子），阻止其再次萌发。
(2)适时调控水质和水色从3月底、4月初开始，气温逐渐回升，
多数养殖者为了尽快让水温升高以利于刺参解除冬眠，往往降低池塘
水位，此时若不及时肥水，较低的水位透明度高，阳光能够直接照射
至池底，会导致大型藻类的萌发与繁殖，这种做法是不可取的。应该
在降低水位的同时，进行肥水，促使单胞藻快速增殖，可以降低水体
的透明度，抑制大型藻类的萌发。此外，还可以在3月中、下旬对池塘
进行肥水或者使用一些能够降低池水透明度的着色剂，或采取提高水
位至2米以上的方法来控制大型藻类的生长。
(3)人工捞除及药物处理一旦大型藻类暴发性增殖，不能盲目使
用除草剂、“灭藻灵”等药物，此时，人工捞除是最安全的控制手段之一。
在大量藻类捞除后及时使用固态氧、微生态制剂等，以降解藻类碎片，减
少腐败藻体对底质和水质的影响。另外，在藻类捞除后，应及时加高水
位，并进行施肥或添加水色剂以控制水体透明度，防止大型藻类的再次
暴发。
"
肠浒苔引起的疾病,"肠浒苔占据水体空间,大量吸收营养盐。池水变“瘦”，刺参身体僵硬，收缩力弱，生长缓慢。",大型藻类肠浒苔,,"(1)清塘和消毒通过调查发现使用时间越久的刺参养殖池塘，
生长大型藻类的概率越高，种类越多，并且一旦某种藻类开始生长，
以后每年都会出现。分析原因可能是藻类在腐败后，其孢子（种子）
会散落在池底泥土中，到来年温度适宜时，又会再次萌发。针对这种
大型藻类频繁生长且无法做到有效控制时，往往要采用彻底清池和消
毒的方法进行处理，将池底的污泥和杂草全部清除后，撒上生石灰消
毒，并对池底进行掀耕、曝晒，直至土壤干裂，以杀除土壤中散落的
藻类孢子（种子），阻止其再次萌发。
(2)适时调控水质和水色从3月底、4月初开始，气温逐渐回升，
多数养殖者为了尽快让水温升高以利于刺参解除冬眠，往往降低池塘
水位，此时若不及时肥水，较低的水位透明度高，阳光能够直接照射
至池底，会导致大型藻类的萌发与繁殖，这种做法是不可取的。应该
在降低水位的同时，进行肥水，促使单胞藻快速增殖，可以降低水体
的透明度，抑制大型藻类的萌发。此外，还可以在3月中、下旬对池塘
进行肥水或者使用一些能够降低池水透明度的着色剂，或采取提高水
位至2米以上的方法来控制大型藻类的生长。
(8)人工捞除及药物处理一旦大型藻类暴发性增殖，不能盲目使
用除草剂、“灭藻灵”等药物，此时，人工捞除是最安全的控制手段之一。
在大量藻类捞除后及时使用固态氧、微生态制剂等，以降解藻类碎片，减
少腐败藻体对底质和水质的影响。另外，在藻类捞除后，应及时加高水
位，并进行施肥或添加水色剂以控制水体透明度，防止大型藻类的再次
暴发。
","(1)清塘和消毒通过调查发现使用时间越久的刺参养殖池塘，
生长大型藻类的概率越高，种类越多，并且一旦某种藻类开始生长，
以后每年都会出现。分析原因可能是藻类在腐败后，其孢子（种子）
会散落在池底泥土中，到来年温度适宜时，又会再次萌发。针对这种
大型藻类频繁生长且无法做到有效控制时，往往要采用彻底清池和消
毒的方法进行处理，将池底的污泥和杂草全部清除后，撒上生石灰消
毒，并对池底进行掀耕、曝晒，直至土壤干裂，以杀除土壤中散落的
藻类孢子（种子），阻止其再次萌发。
(2)适时调控水质和水色从3月底、4月初开始，气温逐渐回升，
多数养殖者为了尽快让水温升高以利于刺参解除冬眠，往往降低池塘
水位，此时若不及时肥水，较低的水位透明度高，阳光能够直接照射
至池底，会导致大型藻类的萌发与繁殖，这种做法是不可取的。应该
在降低水位的同时，进行肥水，促使单胞藻快速增殖，可以降低水体
的透明度，抑制大型藻类的萌发。此外，还可以在3月中、下旬对池塘
进行肥水或者使用一些能够降低池水透明度的着色剂，或采取提高水
位至2米以上的方法来控制大型藻类的生长。
(3)人工捞除及药物处理一旦大型藻类暴发性增殖，不能盲目使
用除草剂、“灭藻灵”等药物，此时，人工捞除是最安全的控制手段之一。
在大量藻类捞除后及时使用固态氧、微生态制剂等，以降解藻类碎片，减
少腐败藻体对底质和水质的影响。另外，在藻类捞除后，应及时加高水
位，并进行施肥或添加水色剂以控制水体透明度，防止大型藻类的再次
暴发。
"
